code,full_text
00,Class: General and overarching topics; collections
01,Class: History and biography
03,Class: Mathematical logic and foundations
05,Class: Combinatorics
45,Class: Integral equations
46,Class: Functional analysis
47,Class: Operator theory
49,Class: Calculus of variations and optimal control; optimization
06,"Class: Order, lattices, ordered algebraic structures"
51,Class: Geometry
08,Class: General algebraic systems
11,Class: Number theory
12,Class: Field theory and polynomials
13,Class: Commutative algebra
14,Class: Algebraic geometry
15,Class: Linear and multilinear algebra; matrix theory
16,Class: Associative rings and algebras
17,Class: Nonassociative rings and algebras
18,Class: Category theory; homological algebra
19,Class: K-theory
20,Class: Group theory and generalizations
22,"Class: Topological groups, Lie groups"
26,Class: Real functions
28,Class: Measure and integration
30,Class: Functions of a complex variable
31,Class: Potential theory
32,Class: Several complex variables and analytic spaces
33,Class: Special functions
34,Class: Ordinary differential equations
35,Class: Partial differential equations
37,Class: Dynamical systems and ergodic theory
39,Class: Difference and functional equations
40,"Class: Sequences, series, summability"
41,Class: Approximations and expansions
52,Class: Convex and discrete geometry
53,Class: Differential geometry
54,Class: General topology
55,Class: Algebraic topology
57,Class: Manifolds and cell complexes
58,"Class: Global analysis, analysis on manifolds"
60,Class: Probability theory and stochastic processes
62,Class: Statistics
65,Class: Numerical analysis
68,Class: Computer science
70,Class: Mechanics of particles and systems
74,Class: Mechanics of deformable solids
76,Class: Fluid mechanics
78,"Class: Optics, electromagnetic theory"
80,"Class: Classical thermodynamics, heat transfer"
81,Class: Quantum theory
82,"Class: Statistical mechanics, structure of matter"
83,Class: Relativity and gravitational theory
85,Class: Astronomy and astrophysics
86,Class: Geophysics
90,"Class: Operations research, mathematical programming"
91,"Class: Game theory, economics, social and behavioral sciences"
92,Class: Biology and other natural sciences
42,Class: Harmonic analysis on Euclidean spaces
93,Class: Systems theory; control
43,Class: Abstract harmonic analysis
94,"Class: Information and communication, circuits"
44,"Class: Integral transforms, operational calculus"
97,Class: Mathematics education
00-XX,Class: General and overarching topics; collections
00-01,"Class: General and overarching topics; collections Subclass: Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general"
